,Body type,Kilometers driven,Transmission type,Number of Owners,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Steering Type,Top Speed,Cargo Volumn,City
5552,2,0.012727272727272728,1,0.4,0.7631578947368425,0.005299900030952386,1,5,0.375,0.1872,0.13812819741197715,4,165.0,3.661029200992061e-05,3
5553,7,0.0018181818181818184,1,0.2,0.973684210526315,0.029890159409731554,4,5,0.375,0.2924,0.09637375865182066,1,170.0,7.763459085791676e-05,3
5554,8,0.009695636363636365,1,0.4,0.8157894736842053,0.014388652762128609,4,0,0.375,0.2994,0.0806500150466446,4,195.0,0.0001248904287714313,3
5555,8,0.017656727272727275,0,0.2,0.8947368421052602,0.018077191668945482,1,5,0.375,0.24960000000000002,0.16039723141739393,4,170.0,9.061696391108009e-05,3
5556,7,0.0018181818181818184,0,0.2,0.973684210526315,0.04290853202202641,4,5,0.375,0.2706,0.09160286736693699,4,170.0,0.0024705455920169825,3
5557,2,0.0015172727272727273,0,0.2,0.8684210526315752,0.014991355197883,4,0,0.375,0.2394,0.08892566957568462,4,165.0,5.8939973661361544e-05,3
5558,2,0.008336727272727273,1,0.4,0.7631578947368425,0.007180331630506087,4,5,0.375,0.1996,0.10103821847727959,4,152.0,3.920676662055328e-05,3
5559,2,0.016363636363636365,1,0.2,0.8157894736842053,0.014460977054419136,1,5,0.375,0.29960000000000003,0.10841107433042432,4,180.5,6.517151272687995e-05,3
5560,7,0.002198909090909091,0,0.2,0.973684210526315,0.022440757303807277,4,6,0.375,0.1998,0.07764068612699368,1,170.0,7.971177054642289e-05,3
5561,4,0.003636363636363637,0,0.2,0.9473684210526301,0.021211244334868318,4,5,0.625,0.2924,0.08207944628347877,4,170.0,4.6736542991388006e-05,3
5562,7,0.0054747272727272735,1,0.2,0.9473684210526301,0.043101396801467816,1,5,0.5,0.29860000000000003,0.10021065302437557,4,170.0,0.0024705455920169825,3
5563,2,0.006334545454545455,0,0.2,0.8684210526315752,0.01564227382849774,4,5,0.375,0.2394,0.11646102919049053,1,170.0,6.205574319412075e-05,3
5564,8,0.018181818181818184,0,0.4,0.8684210526315752,0.015907462900229673,1,5,0.375,0.29960000000000003,0.11014143845922358,4,171.92,0.00011190805571826796,3
5565,8,0.020146727272727274,1,0.4,0.7368421052631575,0.008578601281456277,1,5,0.375,0.3196,0.10126391814625338,4,186.0,0.0001171010049395333,3
5566,7,0.0018181818181818184,1,0.2,0.973684210526315,0.024827458949394667,4,5,0.375,0.2394,0.08516400842612096,1,170.0,9.425202836596583e-05,3
5567,2,0.02392018181818182,1,1.0,0.5,0.0018283340010070916,4,2,0.375,0.2172,0.07463135720734276,4,170.0,0.0024705455920169825,3
5568,8,0.0069763636363636364,1,0.2,0.9473684210526301,0.013978815105815622,4,2,0.375,0.2394,0.10096298525428829,1,170.0,0.0024705455920169825,3
5569,7,0.01090909090909091,1,0.2,0.9210526315789451,0.020729082386264808,4,5,0.375,0.2924,0.07485705687631661,1,170.0,7.763459085791676e-05,3
5570,4,0.005454545454545455,1,0.2,0.9210526315789451,0.01494313900302265,4,5,0.625,0.1998,0.09720132410472465,1,170.0,1.4280610358479669e-05,3
5571,8,0.02181818181818182,1,0.4,0.47368421052631504,0.001442604442124281,1,5,0.375,0.29860000000000003,0.04529040024074631,4,170.0,0.0024705455920169825,3
5572,7,0.009090909090909092,1,0.2,0.9210526315789451,0.020005839463359536,4,5,0.375,0.2394,0.07463135720734276,4,170.0,5.971891604455135e-05,3
5573,8,0.012727272727272728,0,0.2,0.7105263157894726,0.021211244334868318,1,5,0.375,0.399,0.08877520312970208,4,235.0,0.0001171010049395333,3
5574,2,0.016466545454545456,1,0.4,0.6578947368421026,0.004215035646594482,4,5,0.375,0.2172,0.08155281372253989,4,170.0,0.0024705455920169825,3
5575,8,0.012249090909090909,0,0.4,0.8947368421052602,0.02441762129308168,1,5,0.375,0.3164,0.11224796870297923,4,170.0,0.0001171010049395333,3
5576,7,0.003636363636363637,0,0.2,0.9473684210526301,0.040497722279008844,4,5,0.375,0.2902,0.05176045741799581,4,170.0,0.00014488328327330282,3
5577,4,0.003574727272727273,1,0.2,0.9473684210526301,0.03008302418917296,1,5,0.75,0.2994,0.07688835389708096,1,170.0,4.180324123118594e-05,3
5578,7,0.010577636363636364,1,0.2,0.9473684210526301,0.026515025769506963,1,4,0.375,0.29860000000000003,0.12503761661149565,1,170.0,8.334683500130863e-05,3
5579,7,0.007272727272727274,1,0.2,0.9210526315789451,0.020005839463359536,4,5,0.375,0.2924,0.08629250677099007,4,170.0,8.983802152789029e-05,3
5580,7,0.013842545454545455,1,0.2,0.7368421052631575,0.009350060399221895,1,5,0.375,0.2922,0.10066205236232323,4,170.0,0.00011580276763421697,3
5581,7,0.007272727272727274,1,0.2,0.973684210526315,0.041703127150517626,1,5,0.375,0.29860000000000003,0.09160286736693699,4,170.0,0.0024705455920169825,3
5582,8,0.01638218181818182,1,0.2,0.7631578947368425,0.012580545454865436,1,5,0.375,0.29960000000000003,0.14234125789948843,4,190.0,0.0001248904287714313,3
5583,2,0.005878,1,0.4,0.8947368421052602,0.006432980610170642,4,5,0.375,0.1598,0.11751429431236834,4,170.0,5.0111959985210474e-05,3
5584,7,0.009090909090909092,1,0.2,0.9210526315789451,0.01904151556615251,4,5,0.375,0.2394,0.07463135720734276,4,170.0,5.971891604455135e-05,3
5585,7,0.013238545454545456,0,0.4,0.9210526315789451,0.02287470305755044,4,6,0.375,0.2398,0.06974119771291004,4,170.0,8.334683500130863e-05,3
5586,8,0.02181818181818182,1,0.6000000000000001,0.8157894736842053,0.006264223928159412,1,5,0.375,0.224,0.13030394222088473,4,156.0,9.814674028191482e-05,3
5587,2,0.005454545454545455,0,0.4,0.8947368421052602,0.016389624848833186,4,5,0.375,0.2394,0.07764068612699368,4,170.0,6.646975003219628e-05,3
5588,2,0.01090909090909091,1,0.4,0.8947368421052602,0.016389624848833186,1,5,0.375,0.2792,0.11631056274450799,4,170.0,6.646975003219628e-05,3
5589,8,0.012727272727272728,1,0.4,0.6052631578947327,0.00433557613374536,4,5,0.375,0.31920000000000004,0.06184170929882638,4,170.0,0.0024705455920169825,3
5590,8,0.01090909090909091,1,0.4,0.8684210526315752,0.013978815105815622,1,5,0.375,0.29960000000000003,0.14083659343966298,4,170.0,9.632920805447196e-05,3
