,Body type,Kilometers driven,Transmission type,Number of Owners,Car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of doors,Cargo Volumn,City
1598,SUV,100000,Manual,1,Mahindra TUV 300,2015,650000.0,Diesel,Third Party insurance,7.0,1493.0,18.49,Others,Yes,No,Power,156.0,5,384,chennai
1599,Sedan,108902,Manual,1,Maruti Ciaz,2017,650000.0,Diesel,Third Party insurance,5.0,1248.0,28.09,White,Yes,No,Power,190.0,4,510,chennai
1600,Sedan,100425,Manual,1,Volkswagen Ameo,2016,570000.0,Diesel,Comprehensive,5.0,1498.0,21.66,Silver,Yes,No,Power,170.0,4,330,chennai
1601,Sedan,70887,Manual,2,Hyundai Xcent,2016,458000.0,Petrol,Third Party,5.0,1197.0,19.1,Silver,No,No,Power,172.0,4,407,chennai
1602,Sedan,114981,Manual,2,Honda City,2016,577000.0,Petrol,Comprehensive,5.0,1497.0,17.8,Silver,No,No,Power,195.0,4,510,chennai
1603,SUV,45000,Manual,1,Honda WR-V,2018,900000.0,Petrol,Comprehensive,5.0,1199.0,17.5,White,No,No,Electric,164.26,5,363,chennai
1604,Hatchback,45416,Manual,1,Hyundai Grand i10 Nios,2021,649000.0,Petrol,Comprehensive,5.0,1197.0,20.7,White,No,No,Electric,170.0,5,9544,chennai
1605,Hatchback,119468,Manual,1,Hyundai i20,2016,549000.0,Petrol,Third Party insurance,5.0,1197.0,18.6,Silver,No,No,Power,170.0,5,295,chennai
1606,Sedan,100000,Automatic,3,Volkswagen Vento,2015,650000.0,Diesel,Third Party insurance,5.0,1498.0,21.21,Others,Yes,No,Power,186.0,4,454,chennai
1607,Sedan,119975,Manual,1,Maruti Swift Dzire,2017,514000.0,Petrol,Third Party,5.0,1197.0,22.41,Red,No,No,Electric,170.0,4,378,chennai
1608,Sedan,19000,Automatic,1,BMW 3 Series,2017,3900000.0,Petrol,Comprehensive,5.0,1998.0,15.34,White,Yes,No,Power,226.0,4,480,chennai
1609,Hatchback,64906,Manual,2,Hyundai Grand i10,2016,456000.0,Petrol,Comprehensive,5.0,1197.0,18.9,Silver,No,No,Power,165.0,5,256,chennai
1610,Hatchback,81484,Manual,2,Maruti Baleno,2016,502000.0,Petrol,Comprehensive,5.0,1197.0,21.4,Red,No,No,Power,180.0,5,339,chennai
1611,Sedan,45067,Manual,1,Maruti Swift Dzire,2018,685000.0,Petrol,Comprehensive,5.0,1197.0,21.21,Blue,No,No,Power,170.0,4,378,chennai
1612,Sedan,68000,Automatic,1,Mercedes-Benz S-Class,2018,11000000.0,Petrol,Third Party insurance,4.0,4663.0,7.81,Blue,Yes,No,Power,250.0,4,500,chennai
