,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Top Speed,Acceleration,Ground Clearance Unladen,City
107,0,Petrol,Hatchback,"1,05,224",Manual,2,2nd Owner,Maruti,Maruti Baleno,2016,3970,1.2 Alpha,₹ 5.70 Lakh,₹ 6.24 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"1,05,224 Kms",Second Owner,TS07,Sept 2016,5 Seats,Manual,2016.0,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,890Kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",16,5,339-litres,180 Kmph,12.36 seconds,,hyderabad
108,0,Petrol,Hatchback,"20,837",Manual,2,2nd Owner,Hyundai,Hyundai Santro,2021,7460,Asta,₹ 5.51 Lakh,₹ 5.88 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1086 cc,Petrol,Zero Dep,"20,837 Kms",Second Owner,TS04,Oct 2021,5 Seats,Manual,2021.0,Specifications,,1086 CC,68.05bhp,20.3 kmpl,5,99Nm,,White,1.1 L Petrol,1086,68.05bhp@5500rpm,99Nm@4500 rpm,4.0,3.0,SOHC,MPFI,,,No,No,3610 mm,1645 mm,1560 mm,2400 mm,1463,1481,990,,5 Speed,FWD,5,Electric,,Disc,Drum,"Tubeless,Radial",,5,235,,,,hyderabad
109,0,Petrol,Hatchback,"1,00,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2010,1627,Magna,₹ 2.80 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"1,00,000 Kms",Second Owner,MH04,2010,5 Seats,Manual,2010.0,Specifications,,1197 CC,80 PS at 5200 rpm,18.5 kmpl,5,"11.4 kgm at 4,000 rpm",14,Others,In-Line Engine,1197,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",4.0,4.0,DOHC,MPFI,,,No,No,3940 mm,1710 mm,1505 mm,"2,525 mm","1,505 mm","1,503 mm",1020,,5 Speed,,5,Power,5.20 mtrs.,Disk,Drum,"Tubeless,Radial",14,5,,,,,hyderabad
110,0,Petrol,Hatchback,"24,021",Manual,1,1st Owner,Datsun,Datsun RediGO,2021,7845,T Option,₹ 4.63 Lakh,₹ 4.75 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,799 cc,Petrol,Third Party insurance,"24,021 Kms",First Owner,TS11,Nov 2021,5 Seats,Manual,2021.0,Specifications,,799 CC,53.64bhp,20.71 kmpl,5,72Nm,,Blue,0.8L Petrol Engine,799,53.64bhp@5600rpm,72Nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3435mm,1574mm,1546mm,2348mm,,,770,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,,hyderabad
111,0,Petrol,Sedan,"61,000",Manual,1,1st Owner,Maruti,Maruti Ciaz,2016,4006,ZXi,₹ 6.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1373 cc,Petrol,Third Party insurance,"61,000 Kms",First Owner,TS10,Feb 2016,5 Seats,Manual,2016.0,Specifications,,1373 CC,91.1bhp,20.73 kmpl,5,130Nm,15,Grey,k14B VVT Engine,1373,91.1bhp@6000rpm,130Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 82mm,10.1:1,No,No,4490mm,1730mm,1485mm,2650mm,1495mm,1505mm,1030kg,1490kg,5 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,"Tubeless, Radial",15,4,510-litres,190 kmph,14 Seconds,,hyderabad
112,0,Diesel,Sedan,"1,20,000",Automatic,2,2nd Owner,Volvo,Volvo S60,2013,2072,D4 SUMMUM,₹ 8 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1984 cc,Diesel,Third Party insurance,"1,20,000 Kms",Second Owner,GJ06,2013,5 Seats,Automatic,2013.0,Specifications,,1984 CC,181bhp,9 kmpl,5,400Nm,18,Others,Turbo Diesel Engine,1984,181bhp@4250rpm,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,82 x 93.2 mm,,Yes,No,4635mm,2097mm,1484mm,2776mm,1588mm,1585mm,1652kg,2060kg,8 Speed,FWD,5,Power,5.65 metres,Disc,Disc,"Tubeless,Radial",18,4,380-litres,215 Kmph,9.2 Seconds,,hyderabad
113,0,Petrol,Sedan,"64,000",Manual,2,2nd Owner,Ford,Ford Fiesta,2008,959,1.6 ZXI Duratec,₹ 2 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1596 cc,Petrol,Third Party insurance,"64,000 Kms",Second Owner,,2008,5 Seats,Manual,2008.0,Specifications,,1596 CC,101 ,15.3 kmpl,5,14.9 ,14,Black,In-Line Engine,1596,"101 @ 6,500 (PS@rpm)","14.9 @ 3,400 (kgm@rpm)",4.0,4.0,DOHC,SEFI,76.0 x 76.5 mm,9.75:1,No,No,"4,282 mm","1,686 mm","1,468 mm","2,486 mm","1,474 mm","1,444 mm","1,130 kg",,5 Speed,FWD,5,Power,4.9 m,Ventilated Disc,Self-Adjusting Drum,"Tubeless,Radial",14,4,430 litres,179 kmph,11.7 seconds,,hyderabad
114,0,Petrol,Hatchback,"1,20,000",Manual,1,1st Owner,Maruti,Maruti Alto,2011,3903,LXi,₹ 1.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,796 cc,Petrol,Third Party insurance,"1,20,000 Kms",First Owner,AP22,2011,5 Seats,Manual,2011.0,Specifications,,796 CC,46.3bhp,19.7 kmpl,5,62Nm,12,Others,In-Line Engine,796,46.3bhp@6200rpm,62Nm@3000rpm,3.0,4.0,SOHC,MPFI,68.5 x 72.0 mm,,No,No,3495mm,1475mm,1460mm,2360mm,1295mm,1290mm,705kg,1140kg,5 Speed,FWD,5,Power,4.6m,Disc,Drum,"Tubeless,Radial",12,5,,137km/hr,17.7 seconds,,hyderabad
115,0,Petrol,SUV,"30,000",Manual,1,1st Owner,Volkswagen,Volkswagen Taigun,2022,8613,1.5 TSI GT Plus BSVI,₹ 19.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1498 cc,Petrol,Third Party insurance,"30,000 Kms",First Owner,TS09,2022,5 Seats,Manual,2022.0,Specifications,,1498 CC,147.51bhp,17.88 kmpl,5,250Nm,17,Others,1.5L TSI EVO with ACT,1498,147.51bhp@5000-6000rpm,250Nm@1600-3500rpm,4.0,4.0,,TSI,,,Yes,,4221mm,1760mm,1612mm,2651,1531,1516,1312,1700,7-Speed DSG,,5,Electric,5.05,Disc,Drum,"Tubeless,Radial",17,5,385,150.49,,,hyderabad
116,0,Petrol,Hatchback,"49,000",Manual,1,1st Owner,Maruti,Maruti Alto 800,2018,7073,LXI,₹ 3.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,796 cc,Petrol,Third Party insurance,"49,000 Kms",First Owner,TS15,Nov 2018,5 Seats,Manual,2018.0,Specifications,,796 CC,47.33bhp,22.05 kmpl,5,69Nm,,White,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,,,,,3445,1515,1475,2360,1295,1290,755,1185,5 Speed,,5,,4.6,Disc,Drum,Tubeless Tyres,,5,,,,,hyderabad
117,0,Diesel,MUV,"1,15,000",Manual,1,1st Owner,Mahindra,Mahindra Marazzo,2018,6571,M2 BSIV,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Diesel,Third Party insurance,"1,15,000 Kms",First Owner,TS09,Aug 2018,7 Seats,Manual,2018.0,Specifications,,1497 CC,121bhp,17.3 kmpl,7,300Nm,,Silver,D15 1.5 Liter Diesel Engine,1497,121bhp@3500rpm,300Nm@1750-2500rpm,4.0,4.0,,CRDi,,,Yes,No,4585 mm,1866 mm,1774 mm,2760 mm,,,1650 kgs,,6 Speed,FWD,7,Power,5.25 meters,Disc,Disc,"Tubless, Radial",,5,190,,,200mm,hyderabad
118,0,Petrol,Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Alto 800,2016,3921,LXI,₹ 2.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,796 cc,Petrol,Third Party insurance,"50,000 Kms",First Owner,TS08,2016,5 Seats,Manual,2016.0,Specifications,,796 CC,47.3bhp,24.7 kmpl,5,69Nm,,Others,F8D Petrol Engine,796,47.3bhp@6000rpm,69Nm@3500rpm,3.0,4.0,DOHC,MPFi,,,No,No,3430mm,1490mm,1475mm,2360mm,1295mm,1290mm,720kg,1185kg,5 Speed,FWD,5,Power,4.6 metres,Solid Disc,Drum,Tubeless Tyres,,5,177-litres,140 kmph,19 Seconds,,hyderabad
119,0,Petrol,Hatchback,"18,569",Manual,1,1st Owner,Datsun,Datsun RediGO,2021,7846,1.0 T Option,₹ 4.47 Lakh,₹ 4.70 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Third Party,"18,569 Kms",First Owner,TS08,Dec 2021,5 Seats,Manual,2021.0,Specifications,,999 CC,67.05bhp,21.7 kmpl,5,91nm,,Others,1.0 L Petrol Engine,999,67.05bhp@5550rpm,91nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3435mm,1574mm,1546mm,2348mm,,,750,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,,hyderabad
120,0,Diesel,Hatchback,"98,455",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2018,5600,1.2 CRDi Asta,₹ 5.78 Lakh,₹ 5.90 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1186 cc,Diesel,Third Party insurance,"98,455 Kms",First Owner,TS09,Oct 2018,5 Seats,Manual,2018.0,Specifications,,1186 CC,73.97bhp,24 kmpl,5,190.24nm,14,White,U2 CRDi  Diesel Engine,1186,73.97bhp@4000rpm,190.24nm@1750-2250rpm,3.0,4.0,DOHC,CRDi,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1100,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,14,5,256,151.63 Kmph,13.21 Seconds,,hyderabad
121,0,Diesel,Sedan,"85,000",Automatic,1,1st Owner,Skoda,Skoda Rapid,2015,3148,1.5 TDI AT Elegance Plus,₹ 6 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1498 cc,Diesel,Third Party insurance,"85,000 Kms",First Owner,TS13,Feb 2016,5 Seats,Automatic,2015.0,Specifications,,1498 CC,103.52bhp,21.66 kmpl,5,250Nm,15,White,Diesel Engine,1498,103.52bhp@4400rpm,250Nm@1500-2500rpm,4.0,4.0,DOHC,Direct Injection ,,,Yes,No,4386mm,1699mm,1466mm,2552mm,,,1182kg,1770kg,7 Speed,FWD,5,Power,5.3 metres,Disc,Drum,"Tubeless,Radial",15,4,460-litres,186 Kmph,12 Seconds,,hyderabad
122,0,Petrol,Sedan,"97,921",Manual,1,1st Owner,Volkswagen,Volkswagen Ameo,2016,1885,1.2 MPI Highline,₹ 5.24 Lakh,₹ 5.40 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1198 cc,Petrol,Third Party,"97,921 Kms",First Owner,TS08,Aug 2016,5 Seats,Manual,2016.0,Specifications,,1198 CC,73.75bhp,17 kmpl,5,110Nm,15,Brown,MPI Petrol Engine,1198,73.75bhp@5400rpm,110Nm@3750rpm,3.0,4.0,DOHC,MPFI,76.5 X 86.9 mm,10.5:1,No,No,3995mm,1682mm,1483mm,2470mm,1460mm,1456mm,1069kg,,5 Speed,FWD,5,Power,,Disc,Drum,"Tubeless,Radial",15,4,330,,,,hyderabad
123,0,Petrol,Hatchback,"19,205",Manual,2,2nd Owner,Datsun,Datsun RediGO,2020,7846,1.0 T Option,₹ 4.02 Lakh,₹ 4.16 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Third Party,"19,205 Kms",Second Owner,TS10,Aug 2020,5 Seats,Manual,2020.0,Specifications,,999 CC,67.05bhp,21.7 kmpl,5,91nm,,Others,1.0 L Petrol Engine,999,67.05bhp@5550rpm,91nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3435mm,1574mm,1546mm,2348mm,,,750,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,,hyderabad
124,0,Diesel,Hatchback,"1,22,000",Manual,2,2nd Owner,Maruti,Maruti Swift,2019,6236,DDiS VDI,₹ 6.67 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1248 cc,Diesel,Third Party insurance,"1,22,000 Kms",Second Owner,TS09,Aug 2019,5 Seats,Manual,2019.0,Specifications,,1248 CC,74bhp,28.4 kmpl,5,190Nm,,Red,DDiS 190 Engine,1248,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,,CRDi,,,Yes,No,3840mm,1735mm,1530mm,2450mm,1530mm,1530mm,960Kgs,1405Kgs,5,,5,Power,4.8 Meters,Disc,Drum,Tubeless,,5,,,,,hyderabad
125,0,Petrol,Hatchback,"97,644",Manual,1,1st Owner,Maruti,Maruti Ignis,2018,5556,1.2 Alpha BSIV,₹ 5.52 Lakh,₹ 6.13 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Zero Dep,"97,644 Kms",First Owner,TS08,Mar 2018,5 Seats,Manual,2018.0,Specifications,,1197 CC,81.80bhp,20.89 kmpl,5,113Nm,15,Blue,1.2-Litre VVT Petrol Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,SOHC,MPFI,,,No,No,3700mm,1690mm,1595mm,2435mm,,,825,,5 Speed,FWD,5,Electrical,4.7 m,Disc,Drum,"Tubeless,Radial",15,5,260-litres,,,,hyderabad
126,0,Petrol,Hatchback,"82,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2010,1591,Magna 1.2,₹ 2.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"82,000 Kms",First Owner,AP28,Jun 2010,5 Seats,Manual,2010.0,Specifications,,1197 CC,78.9bhp,20.36 kmpl,5,111.7Nm,13,Red,Petrol Engine,1197,78.9bhp@6000rpm,111.7Nm@4000rpm,4.0,4.0,DOHC ,MPFI,71 x 75.6 mm,10.5:1 ,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,930,,5 Speed,FWD,5,Power,,Ventilated Disc,Drum,"Tubeless,Radial",13,4,,,,,hyderabad
127,0,Diesel,Hatchback,"70,607",Manual,2,2nd Owner,Maruti,Maruti Swift,2013,4204,VDI,₹ 4.43 Lakh,₹ 4.60 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1248 cc,Diesel,Comprehensive,"70,607 Kms",Second Owner,AP39,Apr 2013,5 Seats,Manual,2013.0,Specifications,,1248 CC,74bhp,22.9 kmpl,5,190Nm,14,Silver,DDiS Diesel Engine,1248,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,DOHC,CRDI,69.6 X 82 mm,17.6:1,Yes,No,3850mm,1695mm,1530mm,2430mm,1485mm,1495mm,1060kg,1505kg,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,"Tubeless,Radial",14,5,232-litres,158km/hr,13.75 Seconds,,hyderabad
128,0,Petrol,Sedan,"71,144",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2016,1786,1.6 VTVT AT SX,₹ 7.21 Lakh,₹ 7.52 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Third Party insurance,"71,144 Kms",First Owner,TS07,Apr 2017,5 Seats,Automatic,2016.0,Specifications,,1591 CC,121.3bhp,17.01 kmpl,5,154.9Nm,16,Silver,VTVT Petrol Engine,1591,121.3bhp@6300rpm,154.9Nm@4200rpm,4.0,4.0,DOHC,MPFI,77.0 X 85.44 mm,10.5:1,No,No,4375mm,1700mm,1475mm,2570mm,,,,,4 Speed,FWD,5,Power,5.2 metres,Disc ,Drum,Tubeless,16,4,465-litres,196 Kmph,10.5 Seconds,,hyderabad
129,0,Petrol,Sedan,"2,373",Automatic,1,1st Owner,Hyundai,Hyundai Verna,2022,7732,SX IVT Opt,₹ 15.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Petrol,Comprehensive,"2,373 Kms",First Owner,TS07,Feb 2023,5 Seats,Automatic,2022.0,Specifications,,1497 CC,113.18bhp,18.45 kmpl,5,143.8Nm,16,White,1.5 l MPi petrol,1497,113.18bhp@6300rpm,143.8Nm@4500rpm,4.0,4.0,DOHC with VIS,MPi,,,,,4440mm,1729mm,1475mm,2600mm,,,1200,,6 Speed IVT,,5,Electric,,Disc,Drum,"Tubeless, Radial",16,4,,,,,hyderabad
130,0,Petrol,Hatchback,"56,753",Automatic,1,1st Owner,Hyundai,Hyundai i20,2021,8151,Asta Opt Turbo DCT BSVI,₹ 10.92 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,998 cc,Petrol,Zero Dep,"56,753 Kms",First Owner,TS06,Apr 2021,5 Seats,Automatic,2021.0,Specifications,,998 CC,118.41bhp,20.28 kmpl,5,171.62Nm,16,Others,1.0 l Turbo GDi petrol,998,118.41bhp@6000rpm,171.62Nm@1500-4000rpm,3.0,4.0,,,,,Yes,,3995mm,1775mm,1505mm,2580mm,,,1220,,7 Speed DCT,,5,Electric,,Disc,Drum,"Tubeless, Radial",16,5,311,,,,hyderabad
131,0,Diesel,SUV,"72,000",Manual,1,1st Owner,Maruti,Maruti Vitara Brezza,2018,4303,ZDi Plus Dual Tone,₹ 8.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1248 cc,Diesel,Third Party insurance,"72,000 Kms",First Owner,TS04,Aug 2018,5 Seats,Manual,2018.0,Specifications,,1248 CC,88.5bhp,24.3 kmpl,5,200Nm,16,Red,DDiS 200 Diesel Engine,1248,88.5bhp@4000rpm,200Nm@1750rpm,4.0,4.0,DOHC,CRDi,69.6 X 82,,Yes,No,3995mm,1790mm,1640mm,2500mm,,,1210kg,1680kg,5 Speed,FWD,5,Power,5.2 meters,Ventilated Disc,Drum,"Tubeless,Radial",16,5,328-litres,172 kmph,12.36 Seconds,,hyderabad
132,0,Petrol,Hatchback,"64,487",Manual,2,2nd Owner,Maruti,Maruti Baleno,2018,3969,1.2 Zeta,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Not Available,"64,487 Kms",Second Owner,TS08,Jan 2019,5 Seats,Manual,2018.0,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Nexa Blue,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,880kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",16,5,339-litres,180 Kmph,12.36 seconds,,hyderabad
133,0,Petrol,Hatchback,"95,783",Manual,1,1st Owner,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,₹ 6.09 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party,"95,783 Kms",First Owner,TS04,Jun 2017,5 Seats,Manual,2017.0,Specifications,,1197 CC,83.1bhp,21.4 kmpl,5,115Nm,16,Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,890Kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",16,5,339-litres,180 Kmph,12.36 seconds,,hyderabad
134,0,Diesel,MUV,"60,000",Automatic,2,2nd Owner,Tata,Tata Hexa,2019,5482,XTA,₹ 14.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2179 cc,Diesel,Third Party insurance,"60,000 Kms",Second Owner,TS07,2019,7 Seats,Automatic,2019.0,Specifications,,2179 CC,153.86bhp,17.6 kmpl,7,400Nm,17,Blue,2.2 LTR. VARICOR 400,2179,153.86bhp@4000,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4788mm,1900mm,1785mm,2850mm,,,1950,,6 Speed,AWD,7,Power,5.75m,Disc,Disc,"Tubeless,Radial",17,5,128,,,,hyderabad
135,0,Petrol,MUV,"59,108",Manual,1,1st Owner,Maruti,Maruti XL6,2021,7030,Zeta,₹ 11 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1462 cc,Petrol,Comprehensive,"59,108 Kms",First Owner,TS31,Mar 2021,6 Seats,Manual,2021.0,Specifications,,1462 CC,103.2bhp,19.01 kmpl,6,138nm,R15,Red,K15B Smart Hybrid,1462,103.2bhp@6000rpm,138nm@4400rpm,4.0,4.0,,,74.0x85.0,10.5:1,,,4445mm,1775mm,1700mm,2740mm,1590mm,1570mm,1180kg,1730kg,5-Speed,FWD,6,Power,5.2 metres,Ventilated Disc,Leading & Trailing Drum,"Tubeless,Radial",R15,5,209,,,180mm,hyderabad
136,0,Diesel,Sedan,"50,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz C-Class,2019,6597,Prime C 220d,₹ 38 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1950 cc,Diesel,Third Party insurance,"50,000 Kms",Second Owner,,2019,5 Seats,Automatic,2019.0,Specifications,,1950 CC,194bhp,12.6 kmpl,5,400Nm,17,Others,In-Line Engine,1950,194bhp@3800rpm,400Nm@1600-2800rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4686mm,2020mm,1442mm,2840mm,1588mm,1588 mm,1655kg,2165 Kg,9 Speed,RWD,5,Power,5.61 metres,Disc,Disc,"Tubeless, Radial",17,4,480-litres,240 Kmph,6.9 Seconds,,hyderabad
137,0,Petrol,SUV,"31,500",Manual,2,2nd Owner,Nissan,Nissan Kicks,2020,7830,1.3 Turbo XV Pre Option,₹ 11.99 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1330 cc,Petrol,Comprehensive,"31,500 Kms",Second Owner,TS10,Aug 2020,5 Seats,Manual,2020.0,Specifications,,1330 CC,153.87bhp,14.23 kmpl,5,254Nm,17,Silver,1.3 L HR13DDT Turbo Petrol,1330,153.87bhp@5500rpm,254Nm@1600rpm,4.0,4.0,DOHC,GDI,,,Yes,No,4384 mm,1813 mm,1669 mm,2673 mm,,,1250,,6-Speed,FWD,5,Power,5.2,Disc,Drum,Tubeless,17,5,400,,,210 mm,hyderabad
138,0,Diesel,SUV,"1,28,193",Manual,1,1st Owner,Mahindra,Mahindra XUV500,2015,3822,W6 2WD,₹ 8.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2179 cc,Diesel,Comprehensive,"1,28,193 Kms",First Owner,TS08,Dec 2015,7 Seats,Manual,2015.0,Specifications,,2179 CC,140bhp,15.1 kmpl,7,330Nm,,White,mHawk Diesel Engine,2179,140bhp@3750rpm,330Nm@1600-2800rpm,4.0,4.0,DOHC,Direct Injection ,,,Yes,No,4585mm,1890mm,1785mm,2700mm,,,1900,2450kg,6 Speed ,FWD,7,Power,5.6 metres,Disc & Caliper Type,Disc & Caliper Type,"Tubeless,Radial ",,5,,175 kmph,12.5 Seconds,,hyderabad
139,0,Diesel,Sedan,"87,810",Manual,1,1st Owner,Hyundai,Hyundai Verna,2018,5963,CRDi 1.6 SX Option,₹ 10.13 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1582 cc,Diesel,Zero Dep,"87,810 Kms",First Owner,TS03,Oct 2018,5 Seats,Manual,2018.0,Specifications,,1582 CC,126.2bhp,22 kmpl,5,259.87nm,16,White,U2 VGT Diesel Engine,1582,126.2bhp@4000rpm,259.87nm@1500-3000rpm,4.0,4.0,DOHC,CRDi,,,Yes,No,4440mm,1729mm,1475mm,2600mm,,,1275,,6 Speed,FWD,5,Power,,Disc,Drum,Tubeless,16,4,480,,,,hyderabad
140,0,Petrol,SUV,"64,951",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2017,8179,1.6 VTVT SX Plus,₹ 10.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Comprehensive,"64,951 Kms",Second Owner,TS07,Apr 2017,5 Seats,Manual,2017.0,Specifications,,1591 CC,121.3bhp,13 kmpl,5,151Nm,17,Silver,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,DOHC,MPFi,,,No,No,4270mm,1780mm,1630mm,2590mm,,,1280,,6 Speed,FWD,5,Power,5.3 metres,Disc,Drum,Tubeless,17,5,400-litres,,,,hyderabad
