,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,heading,bottomData,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,heading,commonIcon,Engine,Max Power,Mileage,Seats,Torque,Wheel Size,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Value Configuration,Super Charger,Turning Radius,Top Speed,Acceleration,Gross Weight,Front Tread,Rear Tread,BoreX Stroke,Compression Ratio,Ground Clearance Unladen,City
20,0,Diesel,SUV,"1,50,000",Manual,1,1st Owner,Tata,Tata Safari Storme,2013,2876,EX,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2179 cc,Diesel,Third Party insurance,"1,50,000 Kms",First Owner,UK07,2013,7 Seats,Manual,2013,Specifications,,2179 CC,138.1bhp,14 kmpl,7,320Nm,,Others,VTT VariCOR Diesel Engine,2179,138.1bhp@4000rpm,320Nm@1700-2700rpm,4.0,4.0,Direct Injection Common Rail ,Yes,4655mm,1965mm,1922mm,2650mm,2000kg,5 Speed,FWD,7,Power,Ventilated Disc,Ventilated Disc ,"Tubeless,Radial",,5,,DOHC,No,5.4 metres,,,2555kg,,,,,,delhi
21,0,Diesel,SUV,"83,329",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6949,SX Opt Diesel BSIV,₹ 8.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1396 cc,Diesel,Comprehensive,"83,329 Kms",First Owner,HR51,Nov 2019,5 Seats,Manual,2019,Specifications,,1396 CC,88.7bhp,23.7 kmpl,5,220Nm,16,Silver,,1396,88.7bhp@4000rpm,220Nm@1500-2700rpm,4.0,4.0,CRDi,No,3995 mm,1770 mm,1605 mm,2500 mm,1260,6-Speed,FWD,5,Power,Disc,Drum,Radial,16,5,350 L,,,,,,,,,,,190mm,delhi
22,0,Petrol,Hatchback,"43,000",Manual,1,1st Owner,Maruti,Maruti Zen Estilo,2008,5765,1.1 LXI BSIII,₹ 1.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1061 cc,Petrol,Third Party insurance,"43,000 Kms",First Owner,,2008,5 Seats,Manual,2008,Specifications,,1061 CC,64bhp,18.2 kmpl,5,84Nm,13,Medium Blue,"1.1L, 4-Cyl, F10D Petrol",1061,64bhp@6200rpm,84Nm@3500rpm,4.0,4.0,MPFi,No,,,,,875,5 Speed,2WD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",13,5,,,No,4.6 m,130 kmph,16.26 seconds,,,,,,,delhi
23,0,Petrol,Hatchback,"8,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,7091,Sportz,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Third Party insurance,"8,000 Kms",First Owner,,2022,5 Seats,Manual,2022,Specifications,,1197 CC,81.86bhp,20.7 kmpl,5,113.8nm,14,White,1.2 Kappa petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,No,3805mm,1680,1520,2450,1160,5-Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",14,5,,,,,,,,,,,,,delhi
24,0,Petrol,SUV,"11,404",Automatic,1,1st Owner,Skoda,Skoda Kushaq,2021,8478,1.0 TSI Ambition AT BSVI,₹ 12.84 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,999 cc,Petrol,Comprehensive,"11,404 Kms",First Owner,UP80,Jan 2022,5 Seats,Automatic,2021,Specifications,,999 CC,113.98bhp,17.2 kmpl,5,178Nm,16,Red,1.0 TSI Petrol Engine,999,113.98bhp@5000-5500rpm,178Nm@1750-4500rpm,3.0,4.0,TSI,Yes,4225mm,1760mm,1612mm,2651mm,1245-1280 kg,6-speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,385/1405,,,,,,1660 kg,,,,,155mm,delhi
25,0,Petrol,SUV,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2019,8179,1.6 VTVT SX Plus,₹ 8.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Third Party insurance,"70,000 Kms",Second Owner,HR72,2019,5 Seats,Manual,2019,Specifications,,1591 CC,121.3bhp,13 kmpl,5,151Nm,17,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFi,No,4270mm,1780mm,1630mm,2590mm,1280,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,DOHC,No,5.3 metres,,,,,,,,,delhi
26,0,Diesel,Hatchback,"23,000",Manual,1,1st Owner,Tata,Tata Altroz,2023,10226,XZ Diesel,₹ 8.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1497 cc,Diesel,Comprehensive,"23,000 Kms",First Owner,UP16,Jan 2023,5 Seats,Manual,2023,Specifications,,1497 CC,88.77bhp,23.64 kmpl,5,200Nm,16,Red,1.5 l Turbocharged Revotorq,1497,88.77bhp@4000rpm,200Nm@1250-3000rpm,4.0,4.0,,Yes,3990mm,1755,1523,2501,1105,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",16,5,345,,,5.0,,,,,,,,,delhi
27,0,Petrol,Hatchback,"19,044",Manual,1,1st Owner,Maruti,Maruti Ignis,2022,7586,Zeta BSVI,₹ 6.34 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1197 cc,Petrol,Comprehensive,"19,044 Kms",First Owner,HR98,Jun 2022,5 Seats,Manual,2022,Specifications,,1197 CC,81.80bhp,20.89 kmpl,5,113Nm,15,Blue,VVT,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,,,3700mm,1690,1595,2435,840-865,5 Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",15,5,260,,,4.7,,,,,,,,,delhi
28,0,Petrol,Sedan,"23,500",Automatic,1,1st Owner,BMW,BMW 7 Series,2017,5547,740Li DPE Signature,₹ 75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,2998 cc,Petrol,Comprehensive,"23,500 Kms",First Owner,HR26,Jun 2017,5 Seats,Automatic,2017,Specifications,,2998 CC,321.84bhp,12.5 kmpl,5,450Nm,19,Blue,TwinPower Turbo Inline 6 Cylinder Engine,2998,321.84bhp@5500rpm,450Nm@1380-5000rpm,6.0,4.0,Direct Injection,Yes,5238mm,1902mm,1479mm,3210mm,2220,8 Speed,RWD,5,Power,Disc,Disc,Run-Flat,19,4,515,,No,6.25m,250 kmph,6.11 Seconds,,1618mm,1650mm,,,,delhi
29,0,Petrol,SUV,"17,367",Manual,1,1st Owner,Hyundai,Hyundai Creta,2019,6430,1.6 SX,₹ 12.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Car overview,,1591 cc,Petrol,Comprehensive,"17,367 Kms",First Owner,HR26,Apr 2019,5 Seats,Manual,2019,Specifications,,1591 CC,121.3bhp,15.8 kmpl,5,151Nm,17,White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,4270mm,1780mm,1665mm,2590mm,1260,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400,DOHC,No,5.3 metres,,,,,,,,190mm,delhi
